Property,Range,numAllStatements,numRVEStatements
http://dbpedia.org/ontology/soccerTournamentLastChampion,http://dbpedia.org/ontology/SoccerClub,0.0,0.0
http://dbpedia.org/ontology/lake,http://dbpedia.org/ontology/BodyOfWater,2406.0,0.0
http://dbpedia.org/ontology/canonizedPlace,http://dbpedia.org/ontology/PopulatedPlace,495.0,128.0
http://dbpedia.org/ontology/managerClub,http://dbpedia.org/ontology/SportsTeam,60995.0,14869.0
http://dbpedia.org/ontology/olivierAward,http://dbpedia.org/ontology/Award,0.0,0.0
http://dbpedia.org/ontology/maidenFlightRocket,http://dbpedia.org/ontology/Rocket,200.0,35.0
http://dbpedia.org/ontology/locationCountry,http://dbpedia.org/ontology/Country,21851.0,1764.0
http://dbpedia.org/ontology/screenActorsGuildAward,http://dbpedia.org/ontology/Award,0.0,0.0
http://dbpedia.org/ontology/sourceConfluenceCountry,http://dbpedia.org/ontology/Country,0.0,0.0
http://dbpedia.org/ontology/mergedSettlement,http://dbpedia.org/ontology/Settlement,0.0,0.0
http://dbpedia.org/ontology/pastor,http://dbpedia.org/ontology/Person,66.0,55.0
http://dbpedia.org/ontology/composer,http://dbpedia.org/ontology/Person,15116.0,2449.0
http://dbpedia.org/ontology/lastFlight,http://dbpedia.org/ontology/SpaceMission,6.0,6.0
http://dbpedia.org/ontology/wilaya,http://dbpedia.org/ontology/Place,0.0,0.0
http://dbpedia.org/ontology/aircraftElectronic,http://dbpedia.org/ontology/MeanOfTransportation,104.0,44.0
http://dbpedia.org/ontology/film,http://dbpedia.org/ontology/Film,28.0,18.0
http://dbpedia.org/ontology/associatedRocket,http://dbpedia.org/ontology/Rocket,65.0,33.0
http://dbpedia.org/ontology/vein,http://dbpedia.org/ontology/Vein,294.0,58.0
http://dbpedia.org/ontology/aircraftRecon,http://dbpedia.org/ontology/MeanOfTransportation,395.0,158.0
http://dbpedia.org/ontology/stateOfOrigin,http://dbpedia.org/ontology/Country,38461.0,15087.0
http://dbpedia.org/ontology/debutWork,http://dbpedia.org/ontology/Work,0.0,0.0
http://dbpedia.org/ontology/homeStadium,http://dbpedia.org/ontology/Stadium,7403.0,2527.0
http://dbpedia.org/ontology/plant,http://dbpedia.org/ontology/Plant,228.0,104.0
http://dbpedia.org/ontology/educationPlace,http://dbpedia.org/ontology/Place,0.0,0.0
http://dbpedia.org/ontology/student,http://dbpedia.org/ontology/Person,0.0,0.0
http://dbpedia.org/ontology/academicAdvisor,http://dbpedia.org/ontology/Person,1349.0,266.0
http://dbpedia.org/ontology/capitalRegion,http://dbpedia.org/ontology/PopulatedPlace,3.0,0.0
http://dbpedia.org/ontology/spacecraft,http://dbpedia.org/ontology/Spacecraft,0.0,0.0
http://dbpedia.org/ontology/hybrid,http://dbpedia.org/ontology/Plant,1925.0,146.0
