s,p,o,r,id
http://dbpedia.org/resource/Showmatch,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Variety_show,http://dbpedia.org/ontology/Genre,"('http://dbpedia.org/ontology/genre', 50520)"
http://dbpedia.org/resource/Georgi_Joseph__2,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Paris_Basket_Racing,http://dbpedia.org/ontology/SportsTeam,"('http://dbpedia.org/ontology/team', 61929)"
http://dbpedia.org/resource/SC_Maria_da_Fonte,http://dbpedia.org/ontology/league,http://dbpedia.org/resource/Terceira_Divisão,http://dbpedia.org/ontology/SportsLeague,"('http://dbpedia.org/ontology/league', 11775)"
http://dbpedia.org/resource/Isa_TKM_(musical_group),http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/María_Gabriela_de_Faría,http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/bandMember', 9837)"
http://dbpedia.org/resource/Arcane_Roots,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Sony,http://dbpedia.org/ontology/RecordLabel,"('http://dbpedia.org/ontology/recordLabel', 1046)"
http://dbpedia.org/resource/Great_Expectations_(1946_film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Anthony_Wager,http://dbpedia.org/ontology/Actor,"('http://dbpedia.org/ontology/starring', 288226)"
http://dbpedia.org/resource/Guy_Gillette_(photographer),http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Minneapolis,_Minnesota",http://dbpedia.org/ontology/Place,"('http://dbpedia.org/ontology/birthPlace', 122302)"
http://dbpedia.org/resource/The_Class_(TV_series),http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/David_Crane_(writer/producer),http://dbpedia.org/ontology/Agent,"('http://dbpedia.org/ontology/creator', 2959)"
http://dbpedia.org/resource/Chimenticook_River,http://dbpedia.org/ontology/mouthMountain,http://dbpedia.org/resource/Maine,http://dbpedia.org/ontology/Mountain,"('http://dbpedia.org/ontology/mouthMountain', 669)"
http://dbpedia.org/resource/Born_to_Be_Bad_(1950_film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Joan_Leslie,http://dbpedia.org/ontology/Actor,"('http://dbpedia.org/ontology/starring', 148153)"
http://dbpedia.org/resource/Nichia,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/President_(corporate_title),http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/keyPerson', 10772)"
http://dbpedia.org/resource/1975_Scottish_League_Cup_Final,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Glasgow,http://dbpedia.org/ontology/City,"('http://dbpedia.org/ontology/city', 14720)"
http://dbpedia.org/resource/Bad_Ass_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Richard_Riehle,http://dbpedia.org/ontology/Actor,"('http://dbpedia.org/ontology/starring', 254616)"
http://dbpedia.org/resource/Łukasz_Szczoczarz__3,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Cracovia_(football_club),http://dbpedia.org/ontology/SportsTeam,"('http://dbpedia.org/ontology/team', 235012)"
http://dbpedia.org/resource/Lev_Russov,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Leningrad,http://dbpedia.org/ontology/Place,"('http://dbpedia.org/ontology/birthPlace', 162763)"
http://dbpedia.org/resource/Moshe_Safdie,http://dbpedia.org/ontology/significantBuilding,http://dbpedia.org/resource/Habitat_67,http://dbpedia.org/ontology/Building,"('http://dbpedia.org/ontology/significantBuilding', 300)"
http://dbpedia.org/resource/Ronnie_Spector,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Darlene_Love,http://dbpedia.org/ontology/Band,"('http://dbpedia.org/ontology/associatedBand', 12443)"
http://dbpedia.org/resource/Rich_Costey,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/The_Mars_Volta,http://dbpedia.org/ontology/MusicalArtist,"('http://dbpedia.org/ontology/associatedMusicalArtist', 18921)"
http://dbpedia.org/resource/Sandro_Cardoso_dos_Santos,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Chunnam_Dragons,http://dbpedia.org/ontology/SportsTeam,"('http://dbpedia.org/ontology/team', 41764)"
http://dbpedia.org/resource/Arthur_Christmas,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Jim_Broadbent,http://dbpedia.org/ontology/Actor,"('http://dbpedia.org/ontology/starring', 44375)"
http://dbpedia.org/resource/James_P._Comer,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Howard_University,http://dbpedia.org/ontology/Award,"('http://dbpedia.org/ontology/award', 17564)"
http://dbpedia.org/resource/2005–06_Cardiff_City_F.C._season,http://dbpedia.org/ontology/manager,http://dbpedia.org/resource/Dave_Jones_(football_manager),http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/manager', 2454)"
http://dbpedia.org/resource/1932–33_Mansfield_Town_F.C._season__Bernard_Chambers__1,http://dbpedia.org/ontology/currentMember,http://dbpedia.org/resource/Bernard_Chambers,http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/currentMember', 76022)"
http://dbpedia.org/resource/Islanders_FC,http://dbpedia.org/ontology/league,http://dbpedia.org/resource/British_Virgin_Islands_Championship,http://dbpedia.org/ontology/SportsLeague,"('http://dbpedia.org/ontology/league', 14211)"
http://dbpedia.org/resource/Kilmorack,http://dbpedia.org/ontology/councilArea,http://dbpedia.org/resource/Highland_(council_area),http://dbpedia.org/ontology/PopulatedPlace,"('http://dbpedia.org/ontology/councilArea', 803)"
http://dbpedia.org/resource/Peggy_Thorpe-Bates,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Actor,http://dbpedia.org/ontology/PersonFunction,"('http://dbpedia.org/ontology/occupation', 160339)"
http://dbpedia.org/resource/Eat_This!,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Intelligent_Dance_Music,http://dbpedia.org/ontology/Genre,"('http://dbpedia.org/ontology/genre', 127817)"
http://dbpedia.org/resource/Cigher_River,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Tauț,http://dbpedia.org/ontology/City,"('http://dbpedia.org/ontology/city', 55694)"
http://dbpedia.org/resource/Goal_(2007_Hindi_film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/John_Abraham_(actor),http://dbpedia.org/ontology/Actor,"('http://dbpedia.org/ontology/starring', 111672)"
http://dbpedia.org/resource/North_Carolina_Highway_53,http://dbpedia.org/ontology/routeJunction,"http://dbpedia.org/resource/Currie,_North_Carolina",http://dbpedia.org/ontology/RouteOfTransportation,"('http://dbpedia.org/ontology/routeJunction', 18196)"
http://dbpedia.org/resource/The_Warrior_Strain,http://dbpedia.org/ontology/language,http://dbpedia.org/resource/Intertitles,http://dbpedia.org/ontology/Language,"('http://dbpedia.org/ontology/language', 25280)"
http://dbpedia.org/resource/Interstate_5_in_Washington,http://dbpedia.org/ontology/routeEnd,"http://dbpedia.org/resource/Blaine,_Washington",http://dbpedia.org/ontology/RouteOfTransportation,"('http://dbpedia.org/ontology/routeEnd', 7615)"
http://dbpedia.org/resource/André_Neles__16,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Grêmio_Prudente_Futebol,http://dbpedia.org/ontology/SportsTeam,"('http://dbpedia.org/ontology/team', 216914)"
http://dbpedia.org/resource/The_Wishing_Ring:_An_Idyll_of_Old_England,http://dbpedia.org/ontology/language,http://dbpedia.org/resource/Silent_film,http://dbpedia.org/ontology/Language,"('http://dbpedia.org/ontology/language', 5121)"
http://dbpedia.org/resource/BET_Awards_2013,http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/resource/BET_Awards_2014,http://dbpedia.org/ontology/Work,"('http://dbpedia.org/ontology/subsequentWork', 1777)"
http://dbpedia.org/resource/Myron_Charles_Taylor,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Business_magnate,http://dbpedia.org/ontology/PersonFunction,"('http://dbpedia.org/ontology/occupation', 13580)"
http://dbpedia.org/resource/Television_Hill_(band),http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Arbouretum,http://dbpedia.org/ontology/MusicalArtist,"('http://dbpedia.org/ontology/associatedMusicalArtist', 44887)"
http://dbpedia.org/resource/Cholly_Atkins,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Dance,http://dbpedia.org/ontology/PersonFunction,"('http://dbpedia.org/ontology/occupation', 42256)"
http://dbpedia.org/resource/Icimauna_angaba,http://dbpedia.org/ontology/family,http://dbpedia.org/resource/Cerambycidae,http://dbpedia.org/ontology/Species,"('http://dbpedia.org/ontology/family', 66453)"
http://dbpedia.org/resource/Jeannette_Yango,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/FC_Kattowitz,http://dbpedia.org/ontology/SportsTeam,"('http://dbpedia.org/ontology/team', 247733)"
http://dbpedia.org/resource/Ma's_Illustrated_Catalogue_Of_The_Stamps_Of_China,http://dbpedia.org/ontology/language,http://dbpedia.org/resource/Traditional_Chinese_characters,http://dbpedia.org/ontology/Language,"('http://dbpedia.org/ontology/language', 9258)"
http://dbpedia.org/resource/Medora_(film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Andrew_Cohn,http://dbpedia.org/ontology/Agent,"('http://dbpedia.org/ontology/producer', 11025)"
http://dbpedia.org/resource/SV_Höngg,http://dbpedia.org/ontology/league,http://dbpedia.org/resource/Swiss_1._Liga_(football),http://dbpedia.org/ontology/SportsLeague,"('http://dbpedia.org/ontology/league', 2396)"
http://dbpedia.org/resource/Brass_Knuckles_(band),http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Fatboy_Slim,http://dbpedia.org/ontology/Band,"('http://dbpedia.org/ontology/associatedBand', 53286)"
http://dbpedia.org/resource/House_Party_4:_Down_to_the_Last_Minute,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Dorien_Wilson,http://dbpedia.org/ontology/Actor,"('http://dbpedia.org/ontology/starring', 295762)"
http://dbpedia.org/resource/JCT_F.C.__Taranjit_Singh__1,http://dbpedia.org/ontology/currentMember,http://dbpedia.org/resource/Taranjit_Singh,http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/currentMember', 16933)"
http://dbpedia.org/resource/Mottled_skate,http://dbpedia.org/ontology/family,http://dbpedia.org/resource/Rajidae,http://dbpedia.org/ontology/Species,"('http://dbpedia.org/ontology/family', 81362)"
http://dbpedia.org/resource/The_Truth_(Spice_1_album),http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Hardcore_rap,http://dbpedia.org/ontology/Genre,"('http://dbpedia.org/ontology/genre', 125091)"
http://dbpedia.org/resource/B.G._(rapper),http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Songwriter,http://dbpedia.org/ontology/PersonFunction,"('http://dbpedia.org/ontology/occupation', 35088)"
http://dbpedia.org/resource/La_Izbașe_River,http://dbpedia.org/ontology/district,http://dbpedia.org/resource/Vrancea_County,http://dbpedia.org/ontology/PopulatedPlace,"('http://dbpedia.org/ontology/district', 1514)"
http://dbpedia.org/resource/Hamed-nabizadeh-rafsanjani,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Persian_traditional_music,http://dbpedia.org/ontology/Genre,"('http://dbpedia.org/ontology/genre', 55982)"
http://dbpedia.org/resource/Ferruccio_Bortoluzzi,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/Italian_people,http://dbpedia.org/ontology/Country,"('http://dbpedia.org/ontology/nationality', 32244)"
