s,p,o,r,id
http://dbpedia.org/resource/Karla_González_Cruz,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cosoleacaque,http://dbpedia.org/ontology/Place,"('http://dbpedia.org/ontology/birthPlace', 120679)"
http://dbpedia.org/resource/M._Balfas,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Children's_literature,http://dbpedia.org/ontology/Genre,"('http://dbpedia.org/ontology/genre', 29226)"
http://dbpedia.org/resource/Interstate_135,http://dbpedia.org/ontology/routeJunction,"http://dbpedia.org/resource/Newton,_Kansas",http://dbpedia.org/ontology/RouteOfTransportation,"('http://dbpedia.org/ontology/routeJunction', 5034)"
http://dbpedia.org/resource/Knulliana,http://dbpedia.org/ontology/family,http://dbpedia.org/resource/Cerambycidae,http://dbpedia.org/ontology/Species,"('http://dbpedia.org/ontology/family', 56678)"
http://dbpedia.org/resource/Swedish_Under-19_Football_Championships__Patric_Andersson__1,http://dbpedia.org/ontology/currentMember,http://dbpedia.org/resource/Patric_Andersson,http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/currentMember', 96104)"
"http://dbpedia.org/resource/Darlene_Remembers_Duke,_Jonathan_Plays_Fats",http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Corinthian_Records,http://dbpedia.org/ontology/RecordLabel,"('http://dbpedia.org/ontology/recordLabel', 77816)"
http://dbpedia.org/resource/Surviving_Progress,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Daniel_Louis,http://dbpedia.org/ontology/Agent,"('http://dbpedia.org/ontology/producer', 31983)"
http://dbpedia.org/resource/William_Sea__4,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Stade_Brestois,http://dbpedia.org/ontology/SportsTeam,"('http://dbpedia.org/ontology/team', 159519)"
http://dbpedia.org/resource/Sirius_(album),http://dbpedia.org/ontology/recordedIn,http://dbpedia.org/resource/Rockfield_Studios,http://dbpedia.org/ontology/PopulatedPlace,"('http://dbpedia.org/ontology/recordedIn', 8571)"
http://dbpedia.org/resource/Luis_Caffarelli,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Pontifical_Academy_of_Sciences,http://dbpedia.org/ontology/Award,"('http://dbpedia.org/ontology/award', 42300)"
http://dbpedia.org/resource/Ian_Dougald_McLachlan,http://dbpedia.org/ontology/militaryUnit,http://dbpedia.org/resource/British_Commonwealth_Occupation_Force,http://dbpedia.org/ontology/MilitaryUnit,"('http://dbpedia.org/ontology/militaryUnit', 882)"
http://dbpedia.org/resource/Croatia_in_the_union_with_Hungary,http://dbpedia.org/ontology/currency,http://dbpedia.org/resource/Frizatik,http://dbpedia.org/ontology/Currency,"('http://dbpedia.org/ontology/currency', 623)"
http://dbpedia.org/resource/Waterloo_Library,http://dbpedia.org/ontology/location,"http://dbpedia.org/resource/Waterloo,_New_York",http://dbpedia.org/ontology/Place,"('http://dbpedia.org/ontology/location', 62209)"
http://dbpedia.org/resource/Saša_Nikodijević__4,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/FK_Morava_Velika_Plana,http://dbpedia.org/ontology/SportsTeam,"('http://dbpedia.org/ontology/team', 370841)"
http://dbpedia.org/resource/Quinton_Jacobs__13,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/United_Sikkim_FC,http://dbpedia.org/ontology/SportsTeam,"('http://dbpedia.org/ontology/team', 338473)"
http://dbpedia.org/resource/Tangled_Lives,http://dbpedia.org/ontology/language,http://dbpedia.org/resource/Silent_film,http://dbpedia.org/ontology/Language,"('http://dbpedia.org/ontology/language', 5188)"
http://dbpedia.org/resource/Benjamin_Morgan_Harrod,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Engineer,http://dbpedia.org/ontology/PersonFunction,"('http://dbpedia.org/ontology/occupation', 19769)"
http://dbpedia.org/resource/Paul_Miller_(basketball)__3,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/WTK_Anwil_Wloclawek,http://dbpedia.org/ontology/SportsTeam,"('http://dbpedia.org/ontology/team', 351675)"
http://dbpedia.org/resource/Dolls_(2002_film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Tatsuya_Mihashi,http://dbpedia.org/ontology/Actor,"('http://dbpedia.org/ontology/starring', 356501)"
http://dbpedia.org/resource/Moria_Casán,http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Ituzaingó_Partido,http://dbpedia.org/ontology/Place,"('http://dbpedia.org/ontology/residence', 4042)"
http://dbpedia.org/resource/Grantchester_(TV_series),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/James_Norton_(actor),http://dbpedia.org/ontology/Actor,"('http://dbpedia.org/ontology/starring', 336955)"
http://dbpedia.org/resource/American_Idol_Extra,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Dug_James,http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/executiveProducer', 1011)"
http://dbpedia.org/resource/Del_McCoury_Band,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Jason_Carter_(fiddler),http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/bandMember', 1535)"
http://dbpedia.org/resource/His_Double_Life,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Arthur_Hopkins,http://dbpedia.org/ontology/Agent,"('http://dbpedia.org/ontology/producer', 33290)"
http://dbpedia.org/resource/Urgleptes_prolixus,http://dbpedia.org/ontology/family,http://dbpedia.org/resource/Cerambycidae,http://dbpedia.org/ontology/Species,"('http://dbpedia.org/ontology/family', 61881)"
http://dbpedia.org/resource/No_Good_Deed_(2014_film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Idris_Elba,http://dbpedia.org/ontology/Actor,"('http://dbpedia.org/ontology/starring', 132552)"
http://dbpedia.org/resource/Playdays,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Robin_Fritz,http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/presenter', 2677)"
"http://dbpedia.org/resource/Black_Cat,_White_Cat__Original_Soundtrack_From_The_Film_'Black_Cat_White__1",http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Soundtrack,http://dbpedia.org/ontology/Genre,"('http://dbpedia.org/ontology/genre', 27504)"
"http://dbpedia.org/resource/Philippine_House_of_Representatives_elections,_2010",http://dbpedia.org/ontology/firstLeader,http://dbpedia.org/resource/Gloria_Macapagal-Arroyo,http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/firstLeader', 7)"
http://dbpedia.org/resource/The_European_Security_Order_Recast,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Elzbieta_Tromer,http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/author', 7771)"
http://dbpedia.org/resource/Adelina_Ismajli,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Beauty_queen,http://dbpedia.org/ontology/PersonFunction,"('http://dbpedia.org/ontology/occupation', 64121)"
http://dbpedia.org/resource/The_Pathfinder_(1996_film),http://dbpedia.org/ontology/person,http://dbpedia.org/resource/Curtis_Petersen,http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/person', 692)"
http://dbpedia.org/resource/WBNH,http://dbpedia.org/ontology/city,"http://dbpedia.org/resource/Pekin,_Illinois",http://dbpedia.org/ontology/City,"('http://dbpedia.org/ontology/city', 18986)"
http://dbpedia.org/resource/William_Benjamin_Carpenter,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Physiologist,http://dbpedia.org/ontology/PersonFunction,"('http://dbpedia.org/ontology/occupation', 4605)"
http://dbpedia.org/resource/War_Angel_LP,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Digga,http://dbpedia.org/ontology/Agent,"('http://dbpedia.org/ontology/producer', 68406)"
http://dbpedia.org/resource/Secret_Orchards,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Drama,http://dbpedia.org/ontology/Genre,"('http://dbpedia.org/ontology/genre', 94052)"
http://dbpedia.org/resource/Hemitriccus,http://dbpedia.org/ontology/family,http://dbpedia.org/resource/Tyrannidae,http://dbpedia.org/ontology/Species,"('http://dbpedia.org/ontology/family', 20608)"
http://dbpedia.org/resource/Waikouaiti,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/resource/Dunedin_City_Council,http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/leaderName', 2764)"
http://dbpedia.org/resource/Off_the_Record_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Pat_O'Brien_(actor),http://dbpedia.org/ontology/Actor,"('http://dbpedia.org/ontology/starring', 120792)"
http://dbpedia.org/resource/Fabrice_Olinga__8,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Royal_Mouscron-Péruwelz,http://dbpedia.org/ontology/SportsTeam,"('http://dbpedia.org/ontology/team', 88734)"
http://dbpedia.org/resource/Branka_Vukičević,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/SFR_Yugoslavia,http://dbpedia.org/ontology/Place,"('http://dbpedia.org/ontology/birthPlace', 169120)"
http://dbpedia.org/resource/Chuck_Darling,http://dbpedia.org/ontology/draftTeam,http://dbpedia.org/resource/Rochester_Royals,http://dbpedia.org/ontology/SportsTeam,"('http://dbpedia.org/ontology/draftTeam', 849)"
http://dbpedia.org/resource/Can_We_Fix_It%3F,http://dbpedia.org/ontology/musicalBand,http://dbpedia.org/resource/Paul_K._Joyce,http://dbpedia.org/ontology/Band,"('http://dbpedia.org/ontology/musicalBand', 30675)"
http://dbpedia.org/resource/Duncan_Sinclair_(Conservative_politician),http://dbpedia.org/ontology/party,http://dbpedia.org/resource/Conservative_Party_of_Canada_(historical),http://dbpedia.org/ontology/PoliticalParty,"('http://dbpedia.org/ontology/party', 11298)"
http://dbpedia.org/resource/Cusuiuș_River,http://dbpedia.org/ontology/mouthPlace,http://dbpedia.org/resource/Sudrigiu,http://dbpedia.org/ontology/PopulatedPlace,"('http://dbpedia.org/ontology/mouthPlace', 7644)"
http://dbpedia.org/resource/Shot_Jackson,http://dbpedia.org/ontology/instrument,http://dbpedia.org/resource/Guitar,http://dbpedia.org/ontology/Instrument,"('http://dbpedia.org/ontology/instrument', 44925)"
http://dbpedia.org/resource/Turtledove_Clemens,http://dbpedia.org/ontology/locationCity,http://dbpedia.org/resource/Oregon,http://dbpedia.org/ontology/City,"('http://dbpedia.org/ontology/locationCity', 10366)"
http://dbpedia.org/resource/King_Lizzard,http://dbpedia.org/ontology/instrument,http://dbpedia.org/resource/Bass_guitar,http://dbpedia.org/ontology/Instrument,"('http://dbpedia.org/ontology/instrument', 40030)"
http://dbpedia.org/resource/Beck_–_Sista_vittnet,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Mikael_Persbrandt,http://dbpedia.org/ontology/Actor,"('http://dbpedia.org/ontology/starring', 231892)"
http://dbpedia.org/resource/1998_British_Formula_Three_Championship__Tarry_Falcon_Racing__3,http://dbpedia.org/ontology/firstDriver,http://dbpedia.org/resource/Steve_Hayr,http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/firstDriver', 2315)"
http://dbpedia.org/resource/Vöcklamarkt,http://dbpedia.org/ontology/district,http://dbpedia.org/resource/Vöcklabruck_(district),http://dbpedia.org/ontology/PopulatedPlace,"('http://dbpedia.org/ontology/district', 9279)"
http://dbpedia.org/resource/The_Bargee,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/Associated_British_Picture_Corporation,http://dbpedia.org/ontology/Organisation,"('http://dbpedia.org/ontology/distributor', 3737)"
http://dbpedia.org/resource/Billy_Jay_Stein,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/New_York_(state),http://dbpedia.org/ontology/Place,"('http://dbpedia.org/ontology/birthPlace', 94662)"
http://dbpedia.org/resource/The_Northern_Pikes,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Canada,http://dbpedia.org/ontology/Settlement,"('http://dbpedia.org/ontology/hometown', 32044)"
http://dbpedia.org/resource/Delaware_Route_20,http://dbpedia.org/ontology/routeJunction,"http://dbpedia.org/resource/Seaford,_Delaware",http://dbpedia.org/ontology/RouteOfTransportation,"('http://dbpedia.org/ontology/routeJunction', 3066)"
http://dbpedia.org/resource/Entourage_(U.S._TV_series),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Perrey_Reeves,http://dbpedia.org/ontology/Actor,"('http://dbpedia.org/ontology/starring', 293535)"
http://dbpedia.org/resource/Koskela_Light,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Oulu,http://dbpedia.org/ontology/Place,"('http://dbpedia.org/ontology/location', 18794)"
http://dbpedia.org/resource/Make_Way_for_Noddy,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Lee_Tockar,http://dbpedia.org/ontology/Actor,"('http://dbpedia.org/ontology/starring', 244519)"
http://dbpedia.org/resource/Dancing_Stage_featuring_True_Kiss_Destination,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/Konami_Computer_Entertainment_Tokyo,http://dbpedia.org/ontology/Organisation,"('http://dbpedia.org/ontology/distributor', 11955)"
http://dbpedia.org/resource/Calvento_Files,http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/resource/Katapat_Mayor_Fred_Lim,http://dbpedia.org/ontology/Work,"('http://dbpedia.org/ontology/subsequentWork', 12648)"
http://dbpedia.org/resource/Mirko_Šarović,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Federal_People's_Republic_of_Yugoslavia,http://dbpedia.org/ontology/Place,"('http://dbpedia.org/ontology/birthPlace', 130101)"
http://dbpedia.org/resource/P._F._Sloan,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Songwriter,http://dbpedia.org/ontology/PersonFunction,"('http://dbpedia.org/ontology/occupation', 11175)"
http://dbpedia.org/resource/26th_Cavalry_Regiment,http://dbpedia.org/ontology/battle,http://dbpedia.org/resource/Battle_of_the_Philippines_(1941–42),http://dbpedia.org/ontology/MilitaryConflict,"('http://dbpedia.org/ontology/battle', 357)"
http://dbpedia.org/resource/Take_Me,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Olga_Sosnovska,http://dbpedia.org/ontology/Actor,"('http://dbpedia.org/ontology/starring', 148141)"
http://dbpedia.org/resource/Spanish_frigate_Reina_Sofía,http://dbpedia.org/ontology/homeport,http://dbpedia.org/resource/Naval_Station_Rota,http://dbpedia.org/ontology/Place,"('http://dbpedia.org/ontology/homeport', 473)"
http://dbpedia.org/resource/List_of_Cypriot_football_transfers_summer_2012,http://dbpedia.org/ontology/currentMember,http://dbpedia.org/resource/Demetris_Kardanas,http://dbpedia.org/ontology/Person,"('http://dbpedia.org/ontology/currentMember', 73744)"
http://dbpedia.org/resource/Filipa_Azevedo,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Raquel_Guerra,http://dbpedia.org/ontology/Band,"('http://dbpedia.org/ontology/associatedBand', 29903)"
http://dbpedia.org/resource/WASK-FM,http://dbpedia.org/ontology/city,"http://dbpedia.org/resource/Battle_Ground,_Indiana",http://dbpedia.org/ontology/City,"('http://dbpedia.org/ontology/city', 19381)"
http://dbpedia.org/resource/Irmãos_Coragem_(1970_telenovela),http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Telenovela,http://dbpedia.org/ontology/Genre,"('http://dbpedia.org/ontology/genre', 85542)"
http://dbpedia.org/resource/Darin_King,http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Newfoundland_and_Labrador,http://dbpedia.org/ontology/Place,"('http://dbpedia.org/ontology/residence', 1333)"
http://dbpedia.org/resource/Mile_Run_(White_Deer_Creek),http://dbpedia.org/ontology/mouthMountain,http://dbpedia.org/resource/White_Deer_Creek,http://dbpedia.org/ontology/Mountain,"('http://dbpedia.org/ontology/mouthMountain', 9973)"
http://dbpedia.org/resource/Like_a_Rose,http://dbpedia.org/ontology/musicalArtist,http://dbpedia.org/resource/A1_(band),http://dbpedia.org/ontology/MusicalArtist,"('http://dbpedia.org/ontology/musicalArtist', 16712)"
http://dbpedia.org/resource/Crasnița_River,http://dbpedia.org/ontology/sourceMountain,http://dbpedia.org/resource/Tarcău_Mountains,http://dbpedia.org/ontology/Mountain,"('http://dbpedia.org/ontology/sourceMountain', 4519)"
